Gain	
17.89	
HORIZONTAL	360
0	17.89
1	17.88
2	17.84
3	17.78
4	17.7
5	17.6
6	17.47
7	17.33
8	17.14
9	16.94
10	16.73
11	16.49
12	16.22
13	15.92
14	15.59
15	15.25
16	14.86
17	14.49
18	14.01
19	13.55
20	13.06
21	12.56
22	11.97
23	11.31
24	10.65
25	9.95
26	9.2
27	8.4
28	7.55
29	6.62
30	5.6
31	4.43
32	3.16
33	1.7
34	0.22
35	-1.48
36	-3.52
37	-5.78
38	-8.15
39	-9.9
40	-10.1
41	-8.78
42	-6.88
43	-5.13
44	-3.8
45	-2.62
46	-1.66
47	-0.88
48	-0.27
49	0.3
50	0.73
51	1.12
52	1.44
53	1.68
54	1.89
55	2.04
56	2.15
57	2.21
58	2.25
59	2.25
60	2.23
61	2.18
62	2.1
63	1.99
64	1.88
65	1.74
66	1.58
67	1.4
68	1.2
69	0.97
70	0.75
71	0.5
72	0.22
73	-0.03
74	-0.31
75	-0.6
76	-0.91
77	-1.22
78	-1.54
79	-1.87
80	-2.19
81	-2.53
82	-2.85
83	-3.2
84	-3.46
85	-3.86
86	-4.18
87	-4.54
88	-4.86
89	-5.2
90	-5.56
91	-5.87
92	-6.23
93	-6.54
94	-6.88
95	-7.21
96	-7.54
97	-7.89
98	-8.24
99	-8.59
100	-8.94
101	-9.28
102	-9.65
103	-10.01
104	-10.39
105	-10.78
106	-11.19
107	-11.63
108	-12.1
109	-12.58
110	-13.1
111	-13.65
112	-14.24
113	-14.87
114	-15.56
115	-16.32
116	-17.18
117	-18.08
118	-19.11
119	-20.18
120	-21.39
121	-22.66
122	-23.93
123	-25.19
124	-26.22
125	-26.68
126	-26.75
127	-26.27
128	-25.52
129	-24.72
130	-23.98
131	-23.27
132	-22.68
133	-22.19
134	-21.81
135	-21.49
136	-21.29
137	-21.16
138	-21.07
139	-21.07
140	-21.09
141	-21.18
142	-21.29
143	-21.41
144	-21.54
145	-21.68
146	-21.81
147	-21.95
148	-22.05
149	-22.11
150	-22.14
151	-22.13
152	-22.13
153	-22.13
154	-22.11
155	-22.07
156	-22.04
157	-22.05
158	-22.08
159	-22.15
160	-22.27
161	-22.43
162	-22.61
163	-22.83
164	-23.08
165	-23.35
166	-23.65
167	-24
168	-24.36
169	-24.7
170	-24.98
171	-25.33
172	-25.65
173	-26.03
174	-26.21
175	-26.33
176	-26.45
177	-26.55
178	-26.6
179	-26.64
180	-26.71
181	-26.81
182	-26.92
183	-27.13
184	-27.37
185	-27.65
186	-28.05
187	-28.54
188	-29.12
189	-29.78
190	-30.6
191	-31.61
192	-32.69
193	-34.31
194	-35.94
195	-38.17
196	-40.93
197	-44.38
198	-47.52
199	-47.12
200	-43.6
201	-40.75
202	-38.46
203	-36.71
204	-35.36
205	-34.19
206	-33.2
207	-32.28
208	-31.46
209	-30.69
210	-29.83
211	-29.04
212	-28.22
213	-27.38
214	-26.62
215	-25.83
216	-25.08
217	-24.34
218	-23.62
219	-22.91
220	-22.24
221	-21.58
222	-21
223	-20.39
224	-19.84
225	-19.3
226	-18.89
227	-18.41
228	-17.97
229	-17.53
230	-17.12
231	-16.73
232	-16.37
233	-16.02
234	-15.68
235	-15.37
236	-15.06
237	-14.73
238	-14.42
239	-14.14
240	-13.86
241	-13.6
242	-13.35
243	-13.1
